time,magnetometer,latitude,longitude,volcano,distance,picture,,,,,,,,,,,,,
1682186844,37.8637874,42.81061654,167.6666442,Buldir,0.192437815,1017,,,37.8637874,,,,,,,,,,
1682186845,38.73645513,42.83929203,167.7244824,Buldir,0.191654151,,,0.824440002,37.92973455,,,10,1.1,,,,,,
1682186845,38.70979579,42.85661904,167.7594906,Buldir,0.191180672,,,0.497610092,37.96586715,,,,,,,,,,
1682186846,37.71715914,42.87392988,167.7945111,Buldir,0.190707673,,,0.508480072,37.95410134,,,0.03,,,,,,,
1682186846,37.80859908,42.89122876,167.8295525,Buldir,0.190235041,,,0.499709845,37.94733388,,,,,,,,,,
1682186847,38.17615737,42.90851839,167.8646204,Buldir,0.189762704,,,0.506370068,37.95811515,,0,0,2476,2476,,92615.25608,92615.25608,,37.40519228
1682186847,37.47378892,42.92579254,167.8997022,Buldir,0.189290836,,,0.48356986,37.93629957,,1,0.03,5188,2712,,190749.6951,98134.43898,,36.18526511
1682186848,38.35674843,42.94305727,167.9348102,Buldir,0.188819271,,,0.512310028,37.95633624,,2,0.06,7656,2468,,268435.7732,77686.07815,,31.47734123
1682186848,37.95543193,42.96030795,167.969935,Buldir,0.188348141,,,0.49338007,37.9562947,,3,0.09,10309,2653,,351839.5887,83403.81545,,31.43754823
1682186849,37.76958783,42.97754818,168.005084,Buldir,0.187877348,,,0.495189905,37.94768748,,4,0.12,12310,2001,,411757.2777,59917.68901,,29.94387257
1682186849,38.03138228,42.99477478,168.0402507,Buldir,0.187406982,,,0.502300024,37.95159991,,5,0.15,13755,1445,,455177.4457,43420.16803,,30.04855919
1682186850,38.11750997,43.01199024,168.0754404,Buldir,0.186936978,,,0.507009983,37.95942659,,6,0.18,15589,1834,,508572.0869,53394.64122,,29.11376293
1682186850,37.6157584,43.02919601,168.1106559,Buldir,0.186467299,,,0.490760088,37.94372185,,7,0.21,16608,1019,,535293.9867,26721.89976,,26.2236504
1682186851,38.34965073,43.04638404,168.1458809,Buldir,0.185998166,,,0.513740063,37.96311925,,8,0.24,17427,819,,556211.5393,20917.55258,,25.54035725
1682186851,37.45975473,43.06356279,168.1811327,Buldir,0.185529352,,,0.497849941,37.93979233,,9,0.27,18333,906,,578961.4848,22749.94551,,25.11031514
1682186852,37.8139857,43.08078266,168.2165149,Buldir,0.185059485,,,0.49909997,37.93394791,,10,0.3,,,,,,,
1682186852,37.65842346,43.09793654,168.2518077,Buldir,0.184591489,,,0.492810011,37.9213058,,,,,,,,,,
1682186853,38.23889678,43.11520703,168.2873868,Buldir,0.184120385,,,0.503809929,37.9361956,,,,,,,,,,
1682186853,38.19514675,43.13233651,168.3227218,Buldir,0.183653205,,,0.50861001,37.94844904,,,,,,,,,,
1682186854,37.99401228,43.14980165,168.3587968,Buldir,0.183176952,,,0.51330018,37.95062447,,,,,,,,,,
1682186854,38.02431532,43.16690703,168.3941754,Buldir,0.182710591,,,0.494079828,37.9540142,,,,,,,,,,
1682186855,38.1649592,43.18430595,168.4302088,Buldir,0.182236315,,,0.503100157,37.96389045,,,,,,,,,,
1682186855,37.91647337,43.20138987,168.4656365,Buldir,0.181770714,,,0.51004982,37.9616405,,,,,,,,,,
1682186856,37.90574286,43.21886382,168.5019213,Buldir,0.181294577,,,0.499130011,37.95904359,,,,,,,,,,
1682186856,38.35069446,43.23591876,168.5373831,Buldir,0.180829952,,,0.523080111,37.97809055,,,,,,,,,,
1682186857,38.1146456,43.25345794,168.5739004,Buldir,0.180352236,,,0.497879982,37.98441916,,,,,,,,,,
1682186857,38.24078925,43.27048779,168.6094046,Buldir,0.179888494,,,0.501240015,37.99637885,,,,,,,,,,
1682186858,37.96853778,43.28770757,168.6453525,Buldir,0.179419685,,,0.51274991,37.99505096,,,,,,,,,,
1682186858,38.32326709,43.30471234,168.6808985,Buldir,0.178956836,,,0.507750034,38.01055636,,,,,,,,,,
1682186859,38.60495334,43.32228442,168.7176798,Buldir,0.178478661,,,0.504689932,38.03847133,,,,,,,,,,
1682186859,37.90865279,43.33926401,168.7532687,Buldir,0.178016723,,,0.501640081,38.03241056,,,,,,,,,,
1682186860,38.41562788,43.35640887,168.7892519,Buldir,0.177550406,1016,,0.496740103,38.05013096,,,,,,,,,,
1682186861,37.60132621,43.38576637,168.8509784,Buldir,0.176752205,,,0.88504982,38.01382517,,,,,,,,,,
1682186861,37.52161935,43.40325442,168.8878159,Buldir,0.1762769,,,0.502060175,37.99082704,,,,,,,,,,
1682186862,37.90006895,43.42017306,168.9235021,Buldir,0.175817201,,,0.495359898,37.98664168,,,,,,,,,,
1682186862,37.73737734,43.43708128,168.9592138,Buldir,0.175357916,,,0.502120018,37.97499354,,,,,,,,,,
1682186863,37.86855496,43.45397545,168.9949432,Buldir,0.174899148,,,0.50308013,37.97001038,,,,,,,,,,
1682186863,38.79783863,43.47085853,169.0306967,Buldir,0.174440819,,,0.503689766,38.00881289,,,,,,,,,,
1682186864,38.04179114,43.4877277,169.0664684,Buldir,0.173983009,,,0.491320133,38.01032159,,,,,,,,,,
1682186864,38.11740402,43.50458488,169.1022624,Buldir,0.173525671,,,0.506850004,38.01537156,,,,,,,,,,
1682186865,38.08714935,43.52142963,169.1380777,Buldir,0.173068818,,,0.508019924,38.01876421,,,,,,,,,,
1682186865,38.38930994,43.53826172,169.173914,Buldir,0.172612461,,,0.496680021,38.03589663,,,,,,,,,,
1682186866,37.81525219,43.55508264,169.2097744,Buldir,0.172156562,,,0.509170055,38.02544462,,,,,,,,,,
1682186866,38.14173728,43.57206485,169.2460275,Buldir,0.171696455,,,0.491280079,38.03076439,,,,,,,,,,
1682186867,37.94413622,43.58885902,169.2819274,Buldir,0.171241607,,,0.497779846,38.02675042,,,,,,,,,,
1682186867,37.98254698,43.60571126,169.318,Buldir,0.170785354,,,0.497260094,38.02470432,,,,,,,,,,
1682186868,38.2152458,43.62248012,169.3539423,Buldir,0.170331531,,,0.502320051,38.03361179,,,,,,,,,,
1682186868,38.1335731,43.6394341,169.3903307,Buldir,0.169872875,,,0.510890007,38.0383626,,,,,,,,,,
1682186869,38.22118008,43.65617755,169.4263158,Buldir,0.169420095,,,0.49078989,38.04671738,,,,,,,,,,
1682186869,37.8961132,43.67306322,169.4626557,Buldir,0.168963654,,,0.510210037,38.03956898,,,,,,,,,,
1682186870,37.68424793,43.68978091,169.4986829,Buldir,0.168511941,,,0.506190062,38.02283344,,,,,,,,,,
1682186870,38.46672997,43.70696109,169.5357575,Buldir,0.168047931,,,0.504459858,38.04367111,,,,,,,,,,
1682186871,38.87871649,43.72382641,169.5722027,Buldir,0.167592626,,,0.525380135,38.08445559,,,,,,,,,,
1682186871,38.36363941,43.74094121,169.609238,Buldir,0.167130794,,,0.499909878,38.09744579,,,,,,,,,,
