Volcano Number,Volcano Name,Latitude,Longitude,Type,Status,Last Known Eruption
285080,Kussharo,43.615,144.427,Caldera,Tephrochronology,D6
241061,Maroa,-38.42,176.08,Caldera,Tephrochronology,D6
241060,Reporoa,-38.42,176.33,Caldera,Tephrochronology,D6
325010,Yellowstone,44.43,-110.67,Caldera,Tephrochronology,D7
300190,Krasheninnikov,54.596,160.27,Caldera,Radiocarbon,D5
285081,Mashu,43.572,144.561,Caldera,Radiocarbon,D6
300080,Opala,52.543,157.339,Caldera,Radiocarbon,D6
352060,Quilotoa,-0.85,-78.9,Caldera,Radiocarbon,D6
357111,Sollipulli,-38.97,-71.52,Caldera,Radiocarbon,D6
241070,Taupo,-38.82,176,Caldera,Radiocarbon,D6
352002,Chachimbiro,0.468,-78.287,Caldera,Radiocarbon,D7
322160,Crater Lake,42.93,-122.12,Caldera,Radiocarbon,D7
283191,Hijiori,38.599,140.162,Caldera,Radiocarbon,D7
300023,Kurile Lake,51.45,157.12,Caldera,Radiocarbon,D7
352011,Pululahua,0.038,-78.463,Caldera,Radiocarbon,D7
283002,Sanbesan,35.141,132.622,Caldera,Radiocarbon,D7
252150,Tavui,-4.12,152.2,Caldera,Radiocarbon,D7
300170,Uzon,54.5,159.97,Caldera,Radiocarbon,D7
358041,Chaiten,-42.833,-72.646,Caldera,Holocene,D1
357023,Atuel - Caldera del,-34.65,-70.05,Caldera,Holocene,U
355210,Blanco - Cerro,-26.789,-67.765,Caldera,Holocene,U
264001,Buyan-Bratan,-8.283,115.133,Caldera,Holocene,U
357042,Calabozos,-35.558,-70.496,Caldera,Holocene,U
343041,Coatepeque Caldera,13.87,-89.55,Caldera,Holocene,U
221290,Corbetti Caldera,7.193,38.39,Caldera,Holocene,U
312020,Emmons Lake,55.341,-162.073,Caldera,Holocene,U
221230,Gedamsa,8.357,39.188,Caldera,Holocene,U
242021,Macauley,-30.21,-178.475,Caldera,Holocene,U
222164,Ngozi,-8.989,33.554,Caldera,Holocene,U
263010,Pulosari,-6.343,105.978,Caldera,Holocene,U
264060,Sano - Wai,-8.724,119.986,Caldera,Holocene,U
320160,Silverthrone,51.43,-126.3,Caldera,Holocene,U
261090,Toba,2.58,98.83,Caldera,Holocene,U
268050,Todoko-Ranu,1.25,127.47,Caldera,Holocene,U
261280,Hulubelu,-5.334,104.59,Caldera,Fumarolic,U
266040,Riendengan-Sempu,1.13,124.758,Caldera,Fumarolic,U
261260,Sekincau Belirang,-5.107,104.317,Caldera,Fumarolic,U
264120,Sukaria Caldera,-8.792,121.77,Caldera,Fumarolic,U
266070,Tondano Caldera,1.23,124.83,Caldera,Fumarolic,U
252040,Dakataua,-5.094,150.094,Caldera,Anthropology,D3
323110,Mono Lake Volcanic Field,38,-119.03,Cinder cone,Tephrochronology,D4
357112,Caburgua-Huelemolle,-39.25,-71.75,Cinder cone,Tephrochronology,D7
305011,Arxan-Chaihe,47.45,120.8,Cinder cone,Radiocarbon,D
320090,Iskut-Unuk River Cones,56.58,-130.55,Cinder cone,Radiocarbon,D3
